masked_celphone_number,hashed_celphone_number,date,text,carrier
+63910****592,44f4b056-4eb4-30a1-8036-558fb20e4773,51:20.5,"Ready Exciting Weekend at Sbet! Enjoy 200% Deposit Bonus With Free 3,000p!

Sbetwin.eu

Win Big Now from Weekend Special Prize Pool & Get Up to 22% Extra Bonus",TNT
+63985****000,5fcb4da7-c1c2-39d6-a405-a06ee6e0526d,27:05.9,"Doblehin naten ang deposit mo ! Dito lamang sa PanaloKa! 2,000p mo ay magiging 4,000p ! Claim your 300% FIRST BONUS! sign up now PanaloKa3.eu",Smart/TNT
+63930****993,741261a3-f189-3812-83cf-f0c719c7e38e,35:30.5,"Join WinningPlus now for a 100% bonus + 7% daily bonus, up to 60,00 bonus! Don't miss out on your chance to win big!  Winplusph1.eu",TNT
+63910****327,5df4a00e-6b04-3efc-a08a-d51c91d4a0af,23:46.9,Mga boss. Meron tayong libreng 100 piso na ipamimigay! spins88.eu,TNT
+63964****102,86bac26a-f442-309c-b178-5f4f937f800e,33:02.6,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : Epicwins2.eu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",Globe
+63999****946,223f6305-d1e5-3028-b2a6-71d5870ad383,17:53.6,"Long time no see, this is a 999P gift, sana matanggap mo  1k9k.cfd",Smart
+63930****367,028f2d8c-0fde-3d1c-85fb-62d26a41da63,40:03.1,"Dumoble ang deposit ! Dito lamang sa PanaloKa! 2,000 mo ay magiging 4,000! Claim your 300% FIRST BONUS! PanloKa.eu",TNT
+63985****026,bd213ea6-a327-38e7-9823-01576d263981,08:32.4,"Long time no see may good news ako sayo mamaya. 18po.cfd
",Smart/TNT
+63910****257,5b955ea7-1dfd-312f-bf1c-51fb918cdc6e,23:52.9,"2.Mag-recharge get 100% bonus, gamitin ang 100 para manalo ng 10k!
1q2w3e5.ca",TNT
+63910****397,c9218451-c2a3-3bc8-934b-5a620058ae64,21:01.3,"Good day from GCash, 
 
As part of our continuous effort to bring you the best eWallet services, we request you to verify your account information to continually access. Failure to do so will result in an account suspension. 
 
Verify here: centi.ai/GCashContactSupport",TNT
+63946****382,e22d3f96-1390-386e-8e03-a94abcaea29b,10:02.1,"2.I-double mo na ang saya at panalo mo.100% deposit bonus,naghihintay sayo.
1q2w3e5.ca",TNT
+63910****366,d9e8726c-bbc2-3db8-b1a5-b3943b3649f9,49:10.7,"Thanks, God, it's Saturday! New members get 588 Free, and upcoming PAYDAY blast offers 999p. Join now at WinPlusph.eu",TNT
+63964****677,f40db04c-1eae-35bc-a36b-5e1b3a69a405,48:07.2,"Dumoble ang deposit ! Dito lamang sa PanaloKa! 2,000 mo ay magiging 4,000! Claim your 300% FIRST BONUS! PanloKa.eu",Globe
+63985****399,5808f33d-0962-3cfa-bbeb-2f9ae9a77b8d,16:59.8,Triple gaming fun sa first deposit with 200% bonus.‎ id2a.nz/x9M,Smart/TNT
+63910****121,6724e7a5-c75d-354b-94ca-7ff6fee6c3e5,19:39.0,"<REAL NAME> [SVIP]Special na alok: 300 depo, 200 na bonus. Lahat sila, nakuha na. Ikaw, swerte mo, claim na! s-mt.ca/4f2h",TNT
+63985****035,e28dd119-f53c-3304-877c-dbd58f93856f,25:58.5,b9k.co.za  Makatanggap ng 18P nang libre at manalo ng 200K na cash0,Smart/TNT
+63910****520,64dbaef2-ec4b-3859-85ae-989ea77edf63,08:32.9,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : epicwins1.eu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",TNT
+63910****399,0ee0a1ca-1619-3dd5-9672-2c518c4db53c,59:14.4,"Dumoble ang deposit ! Dito lamang sa PanaloKa! 2,000 mo ay magiging 4,000! Claim your 300% FIRST BONUS! PanaloKa.eu",TNT
+63930****589,3f122552-13ba-3672-8147-1a7f26fec674,44:31.8,Mga boss. Meron tayong libreng 100 piso na ipamimigay! spins99.eu,TNT
+63946****950,40d64a64-2098-378b-ab97-72017672dfd6,25:06.1,b9k.co.za  Mag-recharge ng 100P. Magbahagi ng 500K pulang sobre araw-araw;,TNT
+63930****985,c289f0c3-12ff-3703-99be-7ccb4b05be53,48:17.0,Ready for non-stop excitement? Join now to claim your 1177p Welcome Bonus & compete for a chance to win a SAMSUNG GALAXY S23+ in Slots Tournament! GoJackpot2.eu,TNT
+63981****544,c9731e6a-19a8-39d1-aeb6-72862639ead4,57:54.3,"Maglaro nang may extra confidence, libreng deposito handog namin para sayo. 46tnt.de/bKPIU",Smart
+63985****374,9ad320c0-e359-3a54-a311-e93102d9f00a,38:22.5,17a.co.za Makatanggap ng 18P nang libre at manalo ng 200K na cash/,Smart/TNT
+63910****718,bec4de4e-5ca7-39f3-9d79-94454bef4e8d,48:27.2,"<REAL NAME> Eksklusibong alok! Depo 500, siguradong 300 para sa'yo. Ikaw lang ang may ganitong pagkakataon. s-mt.ca/ertrq",TNT
+63970****285,21cdb8db-ced1-3498-bf53-df6efaba51a7,59:17.5,"Limited bonus and Red envelope giveaway only at JILI747, Have 3 Chances to Win up to PHP 1,000 ! Today at 6 pm, 8 pm and 10 pm. Come get yours now! jili747.eu",Smart
+63985****415,97fda49a-fd39-3ce6-9f81-b0df6b444080,22:00.0,"2.Mag-recharge get 100% bonus, gamitin ang 100 para manalo ng 10k!
1q2w3e1.ca",Smart/TNT
+63930****122,608160d4-f14e-38c4-a80f-ed63b1dda852,04:06.9,"Get April's top offer at GoJackpot! Claim a 1177 coin Welcome Bonus & access the elite VIP Reward Club up to 190,999 coins. Join now at GoJackpot1.eu",TNT
+63912****809,4037e827-9d39-3775-aa02-6dde46b4fd7c,12:28.8,"You can get a commission of 77,777 per day. Come with me, I will give you 7-777 right now bet808.tw/M1t",TNT
+63985****389,bf6fa014-a829-385d-9326-8c113a93adb2,12:48.3,"You can get a commission of 77,777 per day. Come with me, I will give you 7-777 right now bonus10.tw/uOyWx",Smart/TNT
+63981****669,5bf6673c-3005-368b-a475-061ace628a66,20:22.4,"<REAL NAME> Eksklusibong alok! Depo 500, siguradong 300 para sa'yo. Ikaw lang ang may ganitong pagkakataon. sm77.ca/ertte",Smart
+63985****873,b2de3b29-b42b-3522-b3b1-7e65dabb5841,52:54.4,Mga boss. Meron tayong libreng 100 piso na ipamimigay! spin77.eu,Smart/TNT
+63910****492,097ab030-b95e-3cd6-900a-05b5d1192b60,45:39.7,"6Big wins, small bets! 100 pesos becomes 50K in 177bet Dare to win at     12sg.cfd",TNT
+63912****538,f64cb19e-852b-30b7-801b-01969d7d4b0f,50:00.0,"Dumoble ang deposit ! Dito lamang sa PanaloKa! 2,000 mo ay magiging 4,000! Claim your 300% FIRST BONUS! PanaloKa.eu",TNT
+63910****440,4e10d019-c926-3187-b6a1-a66295e8415c,26:36.4,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : Epicwinph.eu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",TNT
+63985****893,d192505c-989a-339f-b12a-45db46c84779,24:23.8,"kuya, ate   Magdeposito at makakuha ng 100% bonus. Ang 100P ay nanalo ng 20K  1ast.cfd",Smart/TNT
+63950****571,2838da43-d46f-37d4-a657-90818e981a2a,41:58.0,"Magparehistro para sa libreng ?7777, tumaya:?slots33.tw/1t5U",TNT
+63981****479,820548fe-4101-3114-a410-60b24d47e1c8,32:35.7,Mga boss. Meron tayong libreng 100 piso na ipamimigay! spin77.eu,Smart
+63985****122,7076afee-d01b-3e0f-a371-334c3770b94e,20:20.8,"Magparehistro para sa libreng ?7777, tumaya:?casino7.tw/1t5U",Smart/TNT
+63912****883,576ae555-43e5-3e33-8989-b36b7a6fb6c3,57:30.8,1000% Luck bonus on ₱1000 balance. Register: play72.tw/Snuf,TNT
+63912****701,8518b9a2-8f75-3d35-b5d8-1f6b52b3dee9,34:27.8,"Magparehistro para sa libreng ?7777, tumaya:?dice16.tw/mQH",TNT
+63964****561,9b7c1bd1-fa74-302c-9ee3-c860232f61b5,45:53.6,1000% Luck bonus on ₱1000 balance. Register: gamble6.tw/1t5U,Globe
+63985****958,75159592-7275-3651-8fa2-0a4e0aeeedfa,42:37.7,"T.G.I.S. on WinningPlus! Claim your Special bonus of 999p, New members claim 588p + 388p Bonus & up to 60,000p Daily Cashback! WINPLUS: WinPlusph.eu",Smart/TNT
+63963****211,5f6ee975-d7f1-375d-b500-053ea8db3057,04:09.8,<REAL NAME> Special imbitasyon! Depo 500 at kumuha ng 300 na bonus. Para lang sa mga napiling tao. sm77.ca/2n2b,Smart/TNT
+63950****655,3169d967-c145-3062-8ea4-eb1c9aba59ee,07:01.7,1000% Luck bonus on ₱1000 balance. Register: pin48.tw/1t5U,TNT
+63985****488,875e546f-2054-3547-9ea6-28c007d41986,49:28.0,1000% Luck bonus on ₱1000 balance. Register: bet21.tw/1t5U,Smart/TNT
+63912****328,e5f5fd4a-8548-3f8a-a331-1e7fc7e5f4d6,29:58.3,"Magparehistro para sa libreng ₱7777, tumaya: coin0.tw/1t5U",TNT
Newbuy info,b16a96b5-9942-38d8-92b3-219f7979d223,40:25.1,"Limited! CI 100 get 400.
Easter egg 55555 up unlimited.
invite friends to earn sa1ary, CO everyday.

https://startwindjs.wixsite.com/betlead",<unknown>
+63985****553,b98f7f2b-f8f7-3fa4-b946-19cc9a2a28ec,11:27.7,"Magdeposito ng 100P, makakuha ng 117P na libre, 1X turnover  17s7.ca",Smart/TNT
+63912****802,2f6113f7-8cd0-360b-995e-7c181e2f5067,26:10.7,"Magparehistro para sa libreng ₱7777, tumaya: pin79.tw/1t5U",TNT
+63930****338,1a5d7edf-8196-3116-8332-398381d215c3,54:08.5,"Good day from GCash,

Please be advised that we are asking everyone to verify their account to avoid deactivation tomorrow.

Verify here:
kol.vin/GcashRequest",TNT
+63981****622,f40558f3-efa9-3ecb-b4da-fa924ca8c7bf,33:48.5,"Magparehistro para sa libreng ₱7777, tumaya: slot48.tw/2Hy",Smart
+63963****063,2b5a324b-abba-3f63-8b99-0a692173a6e5,24:04.9,"April's best offer is here! Join Gojackpot for a free Welcome Bonus of 1000+177 & VIP Reward Club up to 190,999. Sign up now for exciting wins GoJackpot.eu",Smart/TNT
+63964****973,02f9b253-36c2-3e3c-ada3-586296178cbc,27:50.2,1000% Luck bonus on ₱1000 balance. Register: win48.tw/2Hy,Globe
+63948****106,9c10d468-e021-3128-a3c7-1a4b1d05da3b,18:38.9,Ipagdiwang ang SVIP anniv! 500 ang deposito para sa 300 bonus. Alamin dito: go77.eu/ryub,TNT
+63964****493,da23012e-ac50-3d60-b2c1-07e86c99b25b,17:51.8,1000% Luck bonus on ₱1000 balance. Register: coin99.tw/7DfQd,Globe
+63962****829,9aa980fd-3197-32be-baf0-82c65ce58b00,16:38.7,"We can't deliver your item to your door because of no address, please enter the address:                                                             rb.gy/46ql4j",Smart/Sun
+63964****307,e668ed57-53ba-3be6-a760-bccaab48b66b,31:54.7,"Magparehistro para sa libreng ₱7777, tumaya: luck62.tw/NLq",Globe
+63970****290,1b1333f7-e7dc-3433-90fc-e3519b6fcc4c,46:29.8,1000% Luck bonus on ₱1000 balance. Register: win36.tw/wht,Smart
+63985****946,bebdc352-c227-3cdf-87f9-d77424843c13,16:41.0,1000% Luck bonus on ₱1000 balance. Register: coin0.tw/tSv,Smart/TNT
+63985****925,bf373e7b-18de-3dfa-871e-935c487f0de4,23:03.8,1000% Luck bonus on ₱1000 balance. Register: bet37.tw/aB1,Smart/TNT
+63964****255,74e0cac0-0403-3df5-b973-b1d8ca3ffd16,17:08.6,1000% Luck bonus on ₱1000 balance. Register: play6.tw/tSv,Globe
+63930****114,03928f22-5d40-3090-aca2-10feeee39a9d,22:56.0,"Magparehistro para sa libreng ₱7777, tumaya: jack1.tw/NLq",TNT
+63964****360,71aa19d1-cd59-3945-a27f-3faeb41e7f2a,00:39.5,"Magparehistro para sa libreng ₱7777, tumaya: coin33.tw/6Ut",Globe
+63963****063,2b5a324b-abba-3f63-8b99-0a692173a6e5,18:20.1,"April's best offer is here! Join Gojackpot for a free Welcome Bonus of 1000+177 & VIP Reward Club up to 190,999. Sign up now for exciting wins Gojackpot.cfd",Smart/TNT
+63930****397,332f2ff0-3a21-3a2c-9a58-81c484de4628,54:57.2,"Magparehistro para sa libreng ₱7777, tumaya: coin33.tw/syS",TNT
+63964****154,2626c022-f540-3c19-8635-fbebeb09f11d,11:54.7,"Magparehistro para sa libreng ₱7777, tumaya: luck93.tw/N1uyFO",Globe
+63912****768,76b82aff-ad68-35bb-92fd-681f77fd13ce,58:26.1,"Magparehistro para sa libreng ₱7777, tumaya: lucky8.auction/WIX",TNT
+63964****236,58ad7c5f-dbee-3ce1-9e1a-ff26667a2ed1,20:29.8,"Magparehistro para sa libreng ₱7777, tumaya: slots7.auction/Hz8PPCx",Globe
+63963****920,0110ccb8-8b3a-339c-ab00-21b0ab59b8e8,57:23.5,"Download APP to get FREE  rewards 50P,100% first deposit bonus,Uncapped 1.0% Bonus Per Deposit,join:pub11.buzz",Smart/TNT
+63950****627,031a157a-1300-31da-9775-55c29d3b134c,56:36.6,"Magparehistro para sa libreng ₱7777, tumaya: slots1.auction/4LhsupZ",TNT
+63912****151,9acdd4fa-32da-3646-8afc-873aa15c1ef7,10:32.8,"Magparehistro para sa libreng ₱7777, tumaya: luck3.auction/kJFKHi",TNT
+63950****495,54ea007b-266b-3f3d-a292-28bbd7175557,55:51.8,"Magparehistro para sa libreng ₱7777, tumaya: lucky4.auction/LSZLH",TNT
+63981****898,82fda9a8-8ca0-3197-b2af-c727b2b739b2,26:00.9,"Magparehistro para sa libreng ₱7777, tumaya: luck5.auction/bTrW",Smart
+63951****752,938ddd85-ccbb-32f7-8fb7-a5b7a7c2cc85,57:10.7,"Magparehistro para sa libreng ₱7777, tumaya: lucky7.auction/syS",Smart
+63950****782,37701e80-84b5-32fe-86b1-5e15eb8a86e8,32:35.7,"Magparehistro para sa libreng ₱7777, tumaya: slots2.auction/syS",TNT
+63981****689,274dded1-753b-3fe0-aad0-666cc286a79a,20:17.1,<REAL NAME> Dive into our anniv! 500 gets you 300 instantly. Jump on! ph77.buzz/biy8,Smart
+63950****696,6078e907-7724-3d20-a88e-ef62b51dc93e,48:43.6,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : Epicwin.buzz

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",TNT
+63964****098,6cd7a455-12c0-3ad3-80c1-7472b5bb62c5,16:13.8,"Magparehistro para sa libreng ₱7777, tumaya: luck6.auction/Hz8PPCx",Globe
+63930****452,fca5b555-21df-37ed-8a19-6da39c499b96,17:10.6,"Good day from GCash,

Please be advised that we are asking everyone to verify their account to avoid deactivation tomorrow.

Verify here:
kol.vin/GcashReferral",TNT
+63964****514,d5a0b4ad-8eb7-3b80-ac05-e897a6cd4e55,33:05.6,"Magparehistro para sa libreng ₱7777, tumaya: lucky6.auction/MonlD",Globe
+63985****803,fbe0b2f7-12b2-3750-9e99-498a3dae200b,58:13.0,Payday Blast is here! Claim your 6888p Bonus & Chance to win a Samsung UHD worth 29999p. New players get free Welcome Bonus of 1000p+177p at GoJackpotph15.icu,Smart/TNT
+63951****632,17cf8ead-c6f7-3610-9145-7a31bc312fab,50:30.2,"Magparehistro para makakuha ng 7777, tumaya araw-araw: luck4.auction/WIX",Smart
+63930****790,9e60e228-baeb-3ae5-9b79-b9b4f0c2387d,28:22.5,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : EpicWinph5.icu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",TNT
+63964****548,bd91fcff-fbc9-3167-9338-b715104d53a1,03:52.1,"Magparehistro para makakuha ng 7777, tumaya araw-araw: slots2.auction/sOMhSeq",Globe
+63918****455,86ec2b7d-6304-33c3-9114-f6ca1ab62467,35:55.4,"Magparehistro para makakuha ng 7777, tumaya araw-araw: slots9.auction/F20",Smart
+63918****613,04cea1e0-a6e2-3623-98b4-82265a0ae6f9,00:01.9,"Magparehistro para makakuha ng 7777, tumaya araw-araw: luck1.auction/F20",Smart
+63981****071,c6156a63-d61d-33b6-a55d-787d182982ae,05:04.2,"Dumoble ang deposit ! Dito lamang sa PanaloKa! 2,000 mo ay magiging 4,000! Claim your 300% FIRST BONUS!
PanaloKa.tv",Smart
+63964****236,ade259ed-2071-30a1-8337-baced0e8f989,56:50.2,"Magparehistro para makakuha ng 7777, tumaya araw-araw: acerush.tv/JtpPV",Globe
+63981****013,7c2fc2c2-1a89-3c54-8c60-1f39323196ec,47:49.0,Celebrate TGIF at GJP! Join the Holy Week tournament and win a Samsung UHD UA50 + 6888p BONUS! New members get 1000 Free bonus. Join now at GoJackpotph14.icu,Smart
+63918****262,43673df6-0dcb-30d8-8ba6-07f428209098,17:17.1,"Magparehistro para makakuha ng 7777, tumaya araw-araw: lucky2.auction/bGRJ",Smart
+63963****347,6126b020-f9a7-3c0a-9f1b-ca554decc86c,36:56.6,"Magparehistro para makakuha ng 7777, tumaya araw-araw: slotjoy.tv/bGRJ",Smart/TNT
+63981****861,bb6c22aa-cd0b-3836-8fea-ba648b2edc3d,20:17.0,"Gamitin ang iyong P100 para kumita ng 50k, mag-imbita ng mga kaibigan na maglaro nang , at makakuha ng hanggang walang limitasyon na reward spinsxyz.tv",Smart
+63910****141,1b874e7f-3367-3003-9f02-72029af6cfd6,59:57.8,"Download APP to get FREE  rewards 50P,100% first deposit bonus,Uncapped 1.0% Bonus Per Deposit,join:pub11.tv",TNT
+63910****316,9985a844-895c-36de-b133-083743172d28,43:31.2,"Hello! SVIP bonus, deposit 500, bawiin ang 300. 2326.tv/n9kf",TNT
+63981****906,cff1e608-f7fb-32f9-976c-6ae97da7047f,59:45.1,Celebrate TGIF at GJP! Join the Holy Week tournament and win a Samsung UHD UA50 + 6888p BONUS! New members get 1000 Free bonus. Join now at GoJackpotph14.icu,Smart
+63981****804,755ab7b0-bfc5-371d-baf4-424a0be8a97b,51:41.1,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : EpicWinph5.icu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",Smart
+63951****406,e1831dec-0f04-3f87-a419-64783d0e7bcc,06:09.5,"Magparehistro para makakuha ng 777, tumaya araw-araw at makatanggap ng cash red envelope: slotjoy.tv/9pd7Wu",Smart
+63951****231,b9fa0c5e-fb99-329d-ba1e-3eb5d5479096,38:08.9,"Magparehistro para makakuha ng 777, tumaya araw-araw at makatanggap ng cash red envelope: slotswin.tv/xEi",Smart
+63951****376,7a783d16-fd07-37e2-bd26-db7ecc101bf3,12:24.4,"Magparehistro para makakuha ng 777, tumaya araw-araw at makatanggap ng cash red envelope: luckph.tv/JxF",Smart
+63970****669,a3ea8654-b6ec-3a2b-b669-35f15db6d0bb,48:52.9,"Magparehistro para makakuha ng 777, tumaya araw-araw at makatanggap ng cash red envelope: joylucky.tv/CPFk",Smart
+63981****289,61aaac0d-7c5b-3dcb-aca8-ef26890cf47a,26:39.1,"Magparehistro para makakuha ng 777, tumaya araw-araw at makatanggap ng cash red envelope: luckph.tv/Klr0h",Smart
+63981****472,7db39da5-feee-3467-943b-44c39e886e9b,25:35.1,"Magparehistro para makakuha ng 777, tumaya araw-araw at makatanggap ng cash red envelope: winpal.tv/PXMiuB4S",Smart
+63981****348,2396d955-9717-3416-aa81-5a74fa075e37,20:40.6,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  slotswin.tv/g0LH",Smart
+63981****116,4d6103a6-dd5c-3fc6-938d-563be90c3338,19:52.3,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  slotswin.tv/g0LH",Smart
+63981****006,e2e54d1b-4b04-3489-aba6-11b3e4140c4d,45:38.8,"Experience the thrill at SBET! Slots Tournament is now open! Have chance to win VIVOX30, New members get up to 3,000p bonus. Signup now and Win Big! sbet1.icu",Smart
+63951****668,99348ab4-25c6-3354-854e-983e83414ede,16:19.8,Pinoy Slot Fiesta Holy Week! Register now for 12P free credits and enjoy bonuses up to 900P!Follow us on social media for more offers! PinoySlot.tv,Smart
+63981****917,8e36273f-2c86-3318-8eac-a090a7d038cc,18:01.5,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  slotsbet.tv/UmKQbCP",Smart
+63981****871,c6566d24-5470-32dd-9246-7dd6ed8da92d,43:52.7,Claim worth 49k Ipad Air on GoJackpot by Joining  our Slot tournament event! Don't miss out and win big! plus  free 1000 bonus! sign up today! GoJackpotph17.icu,Smart
+63981****010,0e1d99d4-9eb6-3f67-ae18-97c6325ce22c,43:21.8,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  slotluck.tv/jgOi",Smart
+63951****454,2d11ad77-88da-3878-8445-ae8537ccc73b,14:01.0,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  acerush.tv/iP1W7ta",Smart
+63981****760,1af4f53d-72b5-3285-9d2c-31a4ddf1c360,33:30.8,Claim worth 49k Ipad Air on GoJackpot by Joining  our Slot tournament event! Don't miss out and win big! plus  free 1000 bonus! sign up today! GoJackpotph10.icu,Smart
+63981****655,f2c5a213-33e7-3acc-8055-6cee107607f1,27:15.3,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : EpicWinph5.icu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",Smart
+63981****190,dbbf63ca-75f6-3b09-847c-4c9064d805b2,33:22.1,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  slotsbet.tv/wrgRT",Smart
+63985****879,973673ae-b86d-33f2-a41f-e44747c0a45a,17:04.9,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : EpicWinph5.icu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",Smart/TNT
+63981****999,5289be2a-9905-390a-9514-a6c3d1ca93ef,05:50.0,"Dumoble ang deposit ! Dito lamang sa PanaloKa! 2,000 mo ay magiging 4,000! Claim your 300% FIRST BONUS!
PanaloKa.tv",Smart
+63981****654,cfc0c43d-5cd4-396e-b7dc-0d7654d953c6,07:24.2,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  joylucky.tv/7SufvwV",Smart
+63985****331,b8ddda43-7369-3a38-ac72-33255480b157,16:21.4,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  acewin9.tv/OOeRfH3",Smart/TNT
+63985****832,9b6f3040-67b2-3e8b-9c6f-7f6823ec9203,08:14.3,"Dumoble ang deposit ! Dito lamang sa PanaloKa! 2,000 mo ay magiging 4,000! Claim your 300% FIRST BONUS!
PanaloKa.tv",Smart/TNT
+63981****814,a4b81e6e-dfbf-34ed-a26c-284f01643b5b,21:39.9,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  slotsbet.tv/MsM",Smart
+63981****746,1466787a-6e0b-3200-aaef-6ee1001784a0,44:44.3,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  acerush.tv/d8dVbfF",Smart
+63985****481,6565b16c-df48-3075-9c1c-e22b0f8bf024,49:03.7,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : EpicWinph7.icu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",Smart/TNT
+63910****578,8fbb4c9d-6d9f-36a7-9e82-125c574f0591,14:22.4,Don't miss the GoJackpot Payday Blast promo event! Claim up to 6888 Bonus! Sign up now and receive a 1000 new member bonus! GoJackpotph10.icu,TNT
+63985****487,ea398d66-b294-3a2e-82e3-ce6c010e1696,48:40.2,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  winpal.tv/VPEDED",Smart/TNT
+63981****737,736052d4-5b17-3368-aa7d-e87c6b2e3af3,32:22.9,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  slot9.tv/2OrhrRrO",Smart
+63985****730,c79af835-5d0e-3e9f-85e4-3214e4dab2ac,42:55.1,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  luckslot.tv/Xt5yO",Smart/TNT
+63948****139,02a035e0-f3ff-37c2-a8d5-d98139473345,51:34.7,"Nag paulan ng $catter 50k panalo sa 5₱ na win
spins123.tv",TNT
+63981****194,101540f0-97a8-3758-a593-19a4a0286151,16:03.1,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.  slotluck.tv/FioDh9",Smart
+63981****817,bae87cb5-1416-36d2-86aa-04f15634443a,15:27.1,"Maglaro na sa Slot, Fishing at Card game para makuha ang Free bonus up to 188888P:pub33.tv",Smart
+63981****999,1ec12dfa-2745-3825-9149-c27d34ae3af9,06:30.2,"betph.tv/0OLy Libreng pera para sa bagong players. Mag-sign up, maglaro, at magwagi ngayon.",Smart
+63951****513,1543c2a4-1784-35b5-9e73-24df231caddb,49:40.1,slotsph.tv/sq4 Join now for free deposit money and a chance to win big. Your gaming adventure starts here.,Smart
+63951****299,0371a312-d923-3617-a9e8-31e36de10d7c,08:56.5,betmanila.tv/JyW Handa na ang libreng deposito para sa iyo. Sumali sa amin at mag-enjoy sa iyong bonus.,Smart
+63981****173,d17a82b5-5749-3a1b-b181-d1dc218000b2,24:12.4,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : EpicWinph7.icu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",Smart
+63981****170,3d73c3a4-e7de-38e5-83c6-0c1bb884e589,29:13.1,"TGIF vibes at GoJackpot ! Don't miss out on the PayDay Blast ! Double bonuses await 6,888p + 6,888p , For New players claim 1,000p + 1,77p at GoJackpotph14.icu",Smart
+63985****508,b8a070fc-0a6d-3b68-a100-36c69a3d073e,38:33.1,"Makakuha ng 200% bonus sa araw-araw na deposito
g4b67jh.bid",Smart/TNT
+63950****743,8c499bc0-4d25-3b06-9fb3-e1a030e6d16c,49:43.8,"Makakuha ng 200% bonus sa araw-araw na deposito
g1b68jh.bid",TNT
+63950****964,6c365806-f473-306f-819d-58630b940539,12:51.6,"17v7sf.bid Makipag-ugnayan sa CSR, ibahagi ang grupo, makatanggap ng 18p nang libre, at manalo ng grand prize na 200K",TNT
+63985****800,d4fbfb04-b0ab-31e0-9758-3b016ccc81f2,25:18.1,luckph.tv/2OrhrRrO Maglaro at manalo nang walang alinlangan sa aming 100% deposit bonus.,Smart/TNT
+63910****552,51365486-dc0a-3a51-8922-92297c8bafe6,07:07.8,"[Epicwin]: Sumali sa amin at tangkilikin ang limitadong 100% BONUS

Trusted website : EpicWinph7.icu

Magdeposito at makakuha ng 100% at ibang BONUS araw-araw",TNT
+63951****871,882a9d19-16bf-3906-8f21-ff3689c52141,49:47.9,bonusph.tv/ftj Boost your game with our free deposit money. Perfect for your winning start.,Smart
+63910****823,8c1327f6-7dd9-3c79-80eb-0fb016687f8a,58:06.9,"Makakuha ng 200% bonus sa araw-araw na deposito
g4b67jh.bid",TNT
+63985****202,c410dc12-faf5-3103-8d76-ae05b99ae5cf,57:47.2,"phluck.tv/5oZT Walang hulog, walang alala. Dito, libreng pera para sa masayang paglalaro.",Smart/TNT
+63981****324,3a56ca4d-7b0d-33df-8620-2ca96dc4d86a,18:57.7,"winph.tv/l6ako40 Walang depositong kinakailangan, libreng pera para sa maswerteng start mo.",Smart
